Nome_Fundo,Publico_Alvo
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,INVESTIDORES EM GERAL
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,INVESTIDORES EM GERAL
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,INVESTIDORES EM GERAL
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,INVESTIDORES EM GERAL
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,INVESTIDOR QUALIFICADO
SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,INVESTIDOR QUALIFICADO E PROFISSIONAL
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,INVESTIDORES EM GERAL
FII PROJ AGUA BRANCA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO RIOBRAVO RENDA CORPORATIVA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOSPITAL DA CRIANCA,INVESTIDORES EM GERAL
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,INVESTIDORES EM GERAL
STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII,INVESTIDOR PROFISSIONAL
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,INVESTIDORES EM GERAL
FII EDIFICIO ALMIRANTE BARROSO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - FII,INVESTIDORES EM GERAL
BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO,INVESTIDORES EM GERAL
FII TORRE ALMIRANTE,INVESTIDORES EM GERAL
FII SHOPPING PARQUE D. PEDRO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,INVESTIDOR QUALIFICADO
FII ANCAR IC,INVESTIDORES EM GERAL
FII HOSPITAL NOSSA SENHORA DE LOURDES,INVESTIDORES EM GERAL
HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,INVESTIDOR QUALIFICADO
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,INVESTIDORES EM GERAL
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,INVESTIDORES EM GERAL
FII BTG PACTUAL CORPORATE OFFICE FUND,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO RIO GRANDE,INVESTIDOR PROFISSIONAL
FUNDO RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
RB CAPITAL RENDA II - FII,INVESTIDORES EM GERAL
RB CAPITAL RENDA II,INVESTIDORES EM GERAL
CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDORES EM GERAL
PÁTRIA ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,INVESTIDOR QUALIFICADO
FII PROPERTY INVEST,INVESTIDOR PROFISSIONAL
