CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",554.05,9.0,Aquisição de unidades prontas,,,,,,,,,,0.01,,,,,,,,,2019-03-29,3.0,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",2019-03-31,67.3,1.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",554.05,9.0,Aquisição de unidades prontas,,,,,,,,,,0.01,,,,,,,,,2019-06-28,3.0,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",2019-06-30,316.17,4.0,Aquisição de unidades prontas,0.01,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",160.64,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Park Square,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",306.31,3.0,Aquisição de unidades prontas,,,,,,,,,,0.01,,,,,,,,,2019-03-29,3.0,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",2019-03-31,306.31,3.0,Aquisição de unidades prontas,0.02,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Park Square,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",306.31,3.0,Aquisição de unidades prontas,,,,,,,,,,0.01,,,,,,,,,2019-09-30,2.0,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",2019-09-30,338.54,4.0,Compra de Imóvel Pronto,0.02,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Park Square,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",306.31,3.0,Aquisição de unidades prontas,,,,,,,,,,0.01,,,,,,,,,2019-12-31,2.0,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",2019-12-31,338.54,4.0,Compra de Imóvel Pronto,0.02,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Estoque Diversos,"Av. Carlos Moreira Lima, nº 460, Vitória-ES /  Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES / Rua Dona Tereza Cristina, no. 179, Colinas de Laranjeiras, Município da Serra/ES",65.69,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,2019-03-29,3.0,"Av. Carlos Moreira Lima, nº 460, Vitória-ES /  Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES / Rua Dona Tereza Cristina, no. 179, Colinas de Laranjeiras, Município da Serra/ES",2019-03-31,65.69,1.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda em construção,Ícono Parque,"Rua do Pinheiro 50, Flamengo, Rio de Janeiro - RJ",33538.0,416.0,Incorporação,,,,,0.84,0.13,0.14,17481123.0,18250000.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Le Quartier,"Bloco ""A"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",9.99,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",1556.41,21.0,Construção própia,,,,,,,,,,0.03,,,,,,,,,2019-03-29,3.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-03-31,80.3,1.0,Construção própia,0.0,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",1556.41,21.0,Construção própia,,,,,,,,,,0.03,,,,,,,,,2019-06-28,3.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-06-30,73.06,1.0,Construção própia,0.0,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",1556.41,21.0,Construção própia,,,,,,,,,,0.03,,,,,,,,,2019-09-30,2.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-09-30,136.53,2.0,Construção própia,0.01,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",1556.41,21.0,Construção própia,,,,,,,,,,0.03,,,,,,,,,2019-12-31,2.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-12-31,136.53,2.0,Construção própia,0.01,0.0
01.235.622/0001-61,2019-03-29,3,imóveis para venda acabados,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",145.08,3.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,2019-06-28,3.0,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2019-06-30,43.57,1.0,Construção própia,0.0,0.0
