CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
01.235.622/0001-61,2024-03-28,1,imóveis para venda acabados,Iluminato,"R. Min. Raul Fernandes, 216 - Botafogo, Rio de Janeiro - RJ",130.09,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-03-28,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",278.36,3.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-03-28,1,imóveis para venda em construção,Zenture,"Rua Sorocaba, no 436, Botafogo, Rio de Janeiro - RJ",4997.73,27.0,Construção própia,,,,,0.15,0.15,0.13,5267000.0,34032871.28,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-03-28,1,imóveis para venda em construção,Lineu 708,"Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ",4117.43,13.0,Construção própia,,,,,0.46,0.59,0.73,17726000.0,21812273.14,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-03-28,1,imóveis para venda acabados,Aretê - Peninsula Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",1580.2,7.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-03-28,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",373.88,13.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,Lineu 708,"Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ",4117.43,13.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,The Gallery,"R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES",156.18,3.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Seasons,"Rua Barra Bonita, nº35, Jacarepaguá - RJ",58.67,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,Arete Toriba - Toriba Sudoeste,"Loteamento Denominado ""Baia Blanca/Enseada Azul"", zona urbana de Armação dos Búzios - RJ",2653.32,13.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,Zenture,"Rua Sorocaba, no 436, Botafogo, Rio de Janeiro - RJ",4997.73,27.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Blanc 260,"Rua Assunção, 260 - Botafogo - RJ",5109.1,35.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Aretê - Toriba Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",9668.69,46.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Miraggio,"R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ",142.5,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Aretê - Peninsula Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",1580.2,7.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Arete - Alto Ybira,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",909.28,4.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",62.71,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Hotel & Bureal,"Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF",50.0,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Iluminato,"R. Min. Raul Fernandes, 216 - Botafogo, Rio de Janeiro - RJ",130.09,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,Nurban,"R. Fernandes Guimarães, 81, Botafogo, Rio de Janeiro - RJ",9017.92,42.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",278.36,3.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,S Design,"Rua Conde de Irajá, nº 439, Botafogo, Rio de Janeiro - RJ",10675.76,47.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Aretê - Ybirá Fase I (Lotes),"Praia Rasa, Buzios - RJ",96320.16,33.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,Glória Residencial,"R. do Russel, 632 - Glória, Rio de Janeiro - RJ",35607.69,270.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,Tiê Residencial,"Rua Homem de Melo, 169, Tijuca, Rio de Janeiro - RJ",40150.63,177.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda em construção,All - Jardim Oceânico,"Av. Nuta James, n 185, Barra da Tijuca, Rio de Janeiro - RJ",17584.43,120.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Toscanini,"Rua Arturo Toscanini, Belo Horizonte - MG",162.05,8.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Costa Mare,"Rodovia Darly Santos, 134 - Jockey de Itaparica, Vila Velha - ES",3870.85,21.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",373.88,13.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-06-30,1,imóveis para venda acabados,Innovitá,"Rua do Matoso, nº104, Tijuca - RJ",132.74,4.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Blanc 260,"Rua Assunção, 260 - Botafogo - RJ",5109.1,35.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Miraggio,"R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ",142.5,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",373.88,13.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Iluminato,"R. Min. Raul Fernandes, 216 - Botafogo, Rio de Janeiro - RJ",130.09,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Seasons,"Rua Barra Bonita, nº35, Jacarepaguá - RJ",58.67,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Arete - Alto Ybira,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",909.28,4.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",278.36,3.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,The Gallery,"R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES",156.18,3.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,Arete Toriba - Toriba Sudoeste,"Loteamento Denominado ""Baia Blanca/Enseada Azul"", zona urbana de Armação dos Búzios - RJ",2653.32,13.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Toscanini,"Rua Arturo Toscanini, Belo Horizonte - MG",162.05,8.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,All - Jardim Oceânico,"Av. Nuta James, n 185, Barra da Tijuca, Rio de Janeiro - RJ",17584.43,120.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Hotel & Bureal,"Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF",50.0,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,Glória Residencial,"R. do Russel, 632 - Glória, Rio de Janeiro - RJ",35607.69,270.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Aretê - Ybirá Fase I (Lotes),"Praia Rasa, Buzios - RJ",96320.16,33.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,Tiê Residencial,"Rua Homem de Melo, 169, Tijuca, Rio de Janeiro - RJ",40150.63,177.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Aretê - Peninsula Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",1580.2,7.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,Lineu 708,"Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ",4117.43,13.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Costa Mare,"Rodovia Darly Santos, 134 - Jockey de Itaparica, Vila Velha - ES",3870.85,21.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,Zenture,"Rua Sorocaba, no 436, Botafogo, Rio de Janeiro - RJ",4997.73,27.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,S Design,"Rua Conde de Irajá, nº 439, Botafogo, Rio de Janeiro - RJ",10675.76,47.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Innovitá,"Rua do Matoso, nº104, Tijuca - RJ",132.74,4.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda em construção,Nurban,"R. Fernandes Guimarães, 81, Botafogo, Rio de Janeiro - RJ",9017.92,42.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",62.71,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-09-30,1,imóveis para venda acabados,Aretê - Toriba Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",9668.69,46.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Iluminato,"R. Min. Raul Fernandes, 216 - Botafogo, Rio de Janeiro - RJ",130.09,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,S Design,"Rua Conde de Irajá, nº 439, Botafogo, Rio de Janeiro - RJ",10675.76,47.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Aretê - Peninsula Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",1580.2,7.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Blanc 260,"Rua Assunção, 260 - Botafogo - RJ",5109.1,35.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Costa Mare,"Rodovia Darly Santos, 134 - Jockey de Itaparica, Vila Velha - ES",3870.85,21.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,Glória Residencial,"R. do Russel, 632 - Glória, Rio de Janeiro - RJ",35607.69,270.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,The Gallery,"R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES",156.18,3.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Hotel & Bureal,"Setor Hoteleiro Norte, Quadra 01, Área Especial A, Brasília - DF",50.0,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Toscanini,"Rua Arturo Toscanini, Belo Horizonte - MG",162.05,8.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",62.71,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Arete - Alto Ybira,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",909.28,4.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,Nurban,"R. Fernandes Guimarães, 81, Botafogo, Rio de Janeiro - RJ",9017.92,42.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,All - Jardim Oceânico,"Av. Nuta James, n 185, Barra da Tijuca, Rio de Janeiro - RJ",17584.43,120.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Aretê - Toriba Norte,"Av. Jose Bento Ribeiro Dantas, s/n, Marina, Armação dos Búzios - RJ",9668.69,46.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Miraggio,"R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ",142.5,1.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",278.36,3.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,Lineu 708,"Rua Lineu de Paula Machado, 708, Lagoa, Rio de Janeiro - RJ",4117.43,13.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,Tiê Residencial,"Rua Homem de Melo, 169, Tijuca, Rio de Janeiro - RJ",40150.63,177.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,Arete Toriba - Toriba Sudoeste,"Loteamento Denominado ""Baia Blanca/Enseada Azul"", zona urbana de Armação dos Búzios - RJ",2653.32,13.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Seasons,"Rua Barra Bonita, nº35, Jacarepaguá - RJ",58.67,1.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda em construção,Zenture,"Rua Sorocaba, no 436, Botafogo, Rio de Janeiro - RJ",4997.73,27.0,Construção própia,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Innovitá,"Rua do Matoso, nº104, Tijuca - RJ",132.74,4.0,Construção própia,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Aretê - Ybirá Fase I (Lotes),"Praia Rasa, Buzios - RJ",96320.16,33.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2024-12-31,1,imóveis para venda acabados,Touch,"Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ",373.88,13.0,Aquisição de unidades prontas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.456.799/0001-89,2024-03-31,3,imóveis para venda acabados,Condomínio Residencial Las Piedras,"Rua Ana Maltz Knijnik, 101, Três Figueiras, Porto Alegre-RS",1546.27,18.0,"Aptos 403, 404 e 501 + 15 boxes",,,,,,,,,,0.42,,,,,,,,,,,,,,,,,
10.456.799/0001-89,2024-03-31,3,imóveis para venda acabados,Condomínio Residencial Murano,"Rua Eng. Ary de Abreu Lima, Jardim Europa, Porto Alegre-RS",388.03,5.0,Aptos 1002 + 4 boxes,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,
10.456.799/0001-89,2024-06-30,2,imóveis para venda acabados,Condomínio Residencial Las Piedras,"Rua Ana Maltz Knijnik, 101, Três Figueiras, Porto Alegre-RS",1546.27,18.0,"Aptos 403, 404 e 501 + 15 boxes",,,,,,,,,,0.42,,,,,,,,,,,,,,,,,
10.456.799/0001-89,2024-06-30,2,imóveis para venda acabados,Condomínio Residencial Murano,"Rua Eng. Ary de Abreu Lima, Jardim Europa, Porto Alegre-RS",388.03,5.0,Apto 1002 + 4 boxes,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,
10.456.799/0001-89,2024-09-30,1,imóveis para venda acabados,Condomínio Residencial Murano,"Rua Eng. Ary de Abreu Lima, Jardim Europa, Porto Alegre-RS",388.03,5.0,Apto 1002 + 4 boxes,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,
10.456.799/0001-89,2024-09-30,1,imóveis para venda acabados,Condomínio Residencial Las Piedras,"Rua Ana Maltz Knijnik, 101, Três Figueiras, Porto Alegre-RS",1546.27,18.0,"Aptos 403, 404 e 501 + 15 boxes",,,,,,,,,,0.42,,,,,,,,,,,,,,,,,
10.456.799/0001-89,2024-12-31,1,imóveis para venda acabados,Condomínio Residencial Murano,"Rua Eng. Ary de Abreu Lima, Jardim Europa, Porto Alegre-RS",388.03,5.0,Apto 1002 + 4 boxes,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,
