Nome_Fundo,Publico_Alvo
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,INVESTIDORES EM GERAL
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
LAGRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,INVESTIDORES EM GERAL
FUNDO FORTALEZA DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO PÁTEO MOINHOS DE VENTO,INVESTIDORES EM GERAL
SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES,INVESTIDOR QUALIFICADO E PROFISSIONAL
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOP. PÁTIO HIGIENÓPOLIS,INVESTIDORES EM GERAL
FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,INVESTIDORES EM GERAL
FII HOSPITAL DA CRIANCA,INVESTIDORES EM GERAL
HOSPITAL DA CRIANCA FII,INVESTIDORES EM GERAL
FUNDO DE INVEST. IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO - FII TORRE NORTE,INVESTIDORES EM GERAL
TORRE NORTE FII,INVESTIDORES EM GERAL
FII TORRE NORTE,INVESTIDORES EM GERAL
FP. F ANDROMEDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO E PROFISSIONAL
FUNDO DE INVESTIMENTO IMOBILIARIO EUROPAR,INVESTIDORES EM GERAL
FII EDIFICIO ALMIRANTE BARROSO,INVESTIDORES EM GERAL
ALMIRANTE BARROSO FII,INVESTIDORES EM GERAL
FII ALMIRANTE BARROSO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,INVESTIDORES EM GERAL
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,INVESTIDORES EM GERAL
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO FII,INVESTIDORES EM GERAL
BB PROGRESSIVO FII,INVESTIDORES EM GERAL
FII TORRE ALMIRANTE,INVESTIDORES EM GERAL
TORRE ALMIRANTE FII,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO - FII SHOPPING PARQUE D. P,INVESTIDORES EM GERAL
SHOPP PDP FII,INVESTIDORES EM GERAL
FII SHOPPING PARQUE DOM PEDRO,INVESTIDORES EM GERAL
FII SHOPPING PARQUE D. PEDRO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RODOBENS,INVESTIDORES EM GERAL
RODOBENS FII,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,INVESTIDOR QUALIFICADO
FII ANCAR IC,INVESTIDORES EM GERAL
FII HOSPITAL NOSSA SENHORA DE LOURDES,INVESTIDORES EM GERAL
HOSPITAL NOSSA SENHORA DE LOURDES FII,INVESTIDORES EM GERAL
FII ICON REALTY,INVESTIDORES EM GERAL
ICON REALTY I  FII,INVESTIDORES EM GERAL
ICON REALTY I FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,INVESTIDORES EM GERAL
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII,INVESTIDORES EM GERAL
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO - FII HOTEL MAXINVEST,INVESTIDORES EM GERAL
HOTEL MAXINVEST FII,INVESTIDORES EM GERAL
